seq,referringId,partnerOrderId,clientId,subclientId,state,partnerShipmentId,mkpPartnerId,firstName,lastName,line1,city,state,zipCode,country,partnerLineId,upc,quantity,price,currencyName
103,10360500493,TRCWAE9P1,7CE,D1E9,CREATED,52510536,B64D,Austin,Huels,5055 Shanahan Plains,East Berenice,PA,95352-9493,USA,1,30769642,7,10.94,USD
104,10496613375,KPLSSHL16,266,5791,CREATED,76030846,B31C,Kathlyn,Lesch,1307 Faustino Mountain,South Gage,UT,76704,USA,1,10420338,2,87.41,USD
105,10595313390,RFWFFFM8X,739,0E40,CREATED,87484287,B217,Jaeden,Beatty,62729 Wunsch Key,Johnstonburgh,OR,18043-9733,USA,1,56802805,10,96.26,USD
106,10692075707,VF5HWB8Z2,726,82B7,CREATED,83642622,5B80,Macey,Ortiz,35886 Emard Glen,Gaylordhaven,OH,54318,USA,1,75345679,6,33.78,USD
107,10720751049,3R959HSY4,B9A,43EB,CREATED,57473738,66BE,Kristofer,Homenick,3889 Kunde Vista,Lake Bianka,WI,90352,USA,1,48300738,5,57.23,USD
108,10888478584,L1C0WH3M2,C09,D6D6,CREATED,82304869,E575,Jamir,Bode,99394 Morissette Pine,New Edna,FL,74845,USA,1,26664583,10,58.07,USD
109,10966084523,1B6BXVT38,C33,0647,CREATED,64391417,8385,Euna,Haag,4892 Alexandro Lakes,Port Liliana,CT,53650-4627,USA,1,21702940,1,94.58,USD
110,11014898420,1F856KZM5,146,44C2,CREATED,76064876,5954,Rollin,Gislason,38460 Adonis Squares,Aidanberg,SD,44199-2607,USA,1,76912608,9,43.05,USD
111,11192116075,LLDF0MBX4,79D,78D9,CREATED,87094060,C218,Krista,Schumm,945 Beer Land,North Maevemouth,WY,56775,USA,1,94753056,10,97.51,USD
112,11290788523,WD3YDS1S0,EDC,1605,CREATED,43064305,D55D,Ellen,Watsica,42094 Estell Forest,Tessiefort,CA,90270-7888,USA,1,80610334,1,38.08,USD
113,11312607473,WD329B8Y3,483,32B1,CREATED,43568750,0AC5,Meghan,Rice,3116 Langworth Locks,Karinafurt,OH,21307,USA,1,24100958,1,97.26,USD
114,11490539312,TRCSNSE96,235,B409,CREATED,53270976,7505,Lupe,Hansen,9979 Stanford Walks,South Chaunceymouth,OR,88127-5230,USA,1,13350684,6,70.18,USD
115,11597468106,VF53M0EV0,EA4,8CCD,CREATED,65295188,54C6,Mariana,Emard,2436 Carolyn Fork,West Jermain,SC,81067,USA,1,99593369,5,51.15,USD
116,11645606832,KPHJGZELX,6ED,A4B5,CREATED,12470967,4012,Abbigail,Donnelly,7626 Davon Islands,Lake Dewitt,KY,70266,USA,1,30601667,2,38.31,USD
117,11797478125,5FSA3PY81,8E8,AE42,CREATED,96542633,D9A5,Jeanie,Hermiston,20852 Dietrich Circles,North Bridie,RI,77624-1765,USA,1,82893616,1,39.56,USD
118,11838592447,DLA9GNHU7,E6D,873B,CREATED,73769668,E8DE,Dewayne,Collins,97326 Dashawn Passage,North Nicolette,WV,20726,USA,1,40718474,3,38.95,USD
119,11991751616,KPLZ5LYK3,94A,9C2D,CREATED,67325985,8183,Linnie,Pouros,792 Abshire Vista,Lake Marinatown,ND,35140,USA,1,79014069,1,48.23,USD
120,12047539963,1G8EAV969,C7E,DC87,CREATED,74652609,AB0C,Pat,Klocko,25120 Era Forge,East Jeffereyburgh,PA,81478,USA,1,72337073,3,90.56,USD
121,12183871163,WBWH9AZ38,AA0,3281,CREATED,27837111,E271,Modesto,Jacobi,836 Asia Walks,South Colemouth,SC,84008-5400,USA,1,27216172,2,14.05,USD
122,12232443924,9BEPKPXL9,E44,C57C,CREATED,40901189,5610,George,Shanahan,764 Wolf Key,Haucktown,NV,42045,USA,1,68408600,3,45.39,USD
123,12368784913,1C946L3W6,30E,8025,CREATED,68768837,911A,Prudence,Weissnat,8645 Schumm Bridge,Port Quinn,MT,88844-5821,USA,1,26458319,9,16.85,USD
124,12485047598,J81YA3G39,3A6,D3C7,CREATED,76906468,BC4D,Aubrey,Skiles,288 West Run,Violetteburgh,GA,49147-9397,USA,1,91423812,2,47.59,USD
125,12557158228,RF4XEYW49,799,0E1D,CREATED,21312367,505E,Jazmyne,Hoeger,4643 Corene Roads,New June,AZ,68358-6132,USA,1,79099794,5,33.82,USD
126,12674253195,8C998WE9X,719,DE65,CREATED,75244591,8CB0,Graciela,Lubowitz,201 Mante Springs,New Ashamouth,ME,84979-8514,USA,1,51035873,7,51.21,USD
127,12735464537,SXMSJA0F8,44C,CB15,CREATED,25057099,42E1,Domenica,Schumm,23249 Cummerata Plains,Kristopherstad,OR,77206-6150,USA,1,98107090,8,44.07,USD
128,12880596623,SU9VGVBX9,864,4A74,CREATED,41905119,A168,Aaron,Grant,2272 Schuster Drives,East Justyn,SC,79835,USA,1,54811174,9,16.67,USD
129,12964885062,TAM2CV431,905,0A2C,CREATED,85843291,5299,Hulda,Zulauf,3178 Virgil Pike,Mayertmouth,DE,16336,USA,1,55664213,4,33.23,USD
130,13058956306,GA13V9YM1,D6C,D927,CREATED,84171969,CA7D,Zelda,Daniel,62611 Hartmann Mountains,East Dedrick,WA,34859-5094,USA,1,35505050,9,38.51,USD
131,13134034136,SAJ77Y4Z0,3D6,D801,CREATED,85115283,E4CC,Petra,Moore,127 Randy Drive,Lake Vivamouth,ID,98576,USA,1,25583964,6,83.79,USD
132,13269151333,3A9PE7ZY8,B55,8366,CREATED,25792235,5AB4,Alexander,Crist,247 Kemmer Mission,Port Lee,IL,30129-0064,USA,1,55409369,7,76.36,USD
133,13335186021,W095XGC37,41B,A8D9,CREATED,20463096,524C,Kellen,Stracke,70112 Luettgen Forest,North Martinemouth,NV,10353-5990,USA,1,65317993,9,44.74,USD
134,13496666637,15EFAFSN9,AEB,6562,CREATED,49742164,0001,Lia,Block,393 Koelpin Unions,Boyerfort,AR,67327,USA,1,58392965,5,19.49,USD
135,13577596792,SXM0DPN66,482,3947,CREATED,97481978,5B77,Santos,Durgan,68257 Ara Bridge,New Lourdestown,MA,28312-9393,USA,1,42971220,4,49.53,USD
136,13662911163,1B9XZHRU7,464,CD4C,CREATED,34149143,2B2B,Katelynn,Bergnaum,815 Orlo Dale,South Sidchester,IL,14097,USA,1,15300456,2,56.49,USD
137,13734658373,8C9ZL2M41,3D0,594A,CREATED,58840612,2CC2,Kaylie,Hodkiewicz,9591 Cristopher Circle,Boehmland,ME,14819-6911,USA,1,49804193,7,16.24,USD
138,13837595064,SU9C1WDS5,2B2,D10B,CREATED,37137269,21A0,Stacy,Deckow,4871 Stewart Ramp,Helenstad,NJ,42592,USA,1,98249189,4,63.56,USD
139,13932920112,VF5YT53Y4,BDC,B0D2,CREATED,43991172,1715,Kylie,Goldner,744 Carroll Mount,Port Josephport,OH,41359,USA,1,83543578,4,78.96,USD
140,14027724663,LLDRJGRK8,4ED,E3AA,CREATED,61446689,2329,Zoe,Huel,441 Ondricka Walk,South Adashire,WA,76742-0148,USA,1,13585260,9,67.21,USD
141,14140644660,1C9JZ76C7,CE3,70DB,CREATED,64560173,7235,Major,Huel,80724 Beatrice Centers,Wolffburgh,AR,73425,USA,1,36450199,5,30.11,USD
142,14293991435,9BEP29DU4,D1E,AE16,CREATED,69245581,542C,Hester,Nolan,5286 Dietrich Inlet,Darwinville,VT,65177,USA,1,43503197,3,71.64,USD
143,14397369244,1F1G7FJ74,E06,200A,CREATED,48679018,760B,Isobel,Schumm,7714 Hazle Vista,West Dayneland,MS,95631,USA,1,38104819,3,36.62,USD
144,14460942770,RF46JMRL4,D25,9CD1,CREATED,35800846,A6A7,Hillard,Heaney,51934 Tyreek Pike,East Laishamouth,MT,79323,USA,1,36442131,7,12.32,USD
145,14516565182,SAJRLLH89,DE3,9EAD,CREATED,35805470,AA60,Hipolito,Stokes,51250 Thiel Branch,North Audrey,NY,27674-5495,USA,1,86227705,7,71.32,USD
146,14616820028,1C9ZMFRB3,D94,BC51,CREATED,67072662,9B97,Benjamin,Gleichner,667 Labadie Lane,Hesseltown,RI,37560-0450,USA,1,41697628,7,87.34,USD
147,14727021791,KPHGWP383,D3B,D9D3,CREATED,99183939,539B,Mozell,Bernhard,436 Cruickshank Trafficway,South Kassandra,MI,37339-7922,USA,1,77847682,5,67.41,USD
148,14899148125,1G8BJN7Y1,A0E,8CC5,CREATED,76428279,2E7D,Caesar,Trantow,628 Leffler Village,New Teagan,HI,26069-8994,USA,1,88274248,6,66.76,USD
149,14914027238,WD2U2K1R0,9EA,330C,CREATED,15589571,89B7,Daphne,Johnston,8653 Ines Drives,North Rhiannon,MI,10124-5682,USA,1,60395242,9,36.15,USD
150,15086617401,1C92PSSNX,4C9,3917,CREATED,79036509,CD75,Alivia,Buckridge,1520 Laury Keys,Schuppeland,NC,66128,USA,1,96903360,5,81.45,USD
151,15187221681,8C9Y37K14,9AB,3DA6,CREATED,72894604,187C,Garrett,Keeling,93692 Rippin Lock,New Elenora,SD,88855,USA,1,32567502,4,57.57,USD
152,15298194186,1C9MCL5P8,878,CC6E,CREATED,72354129,750A,Florida,Heller,1417 Grayce Haven,Vincentstad,KY,29629,USA,1,43963431,8,22.66,USD
153,15330419191,VF5KPHF82,111,3446,CREATED,73813968,3BDA,Andreanne,Kuphal,8072 Cole Harbors,East Wilton,UT,88063,USA,1,24266250,2,89.86,USD
154,15426127519,WBT6R9J77,2AE,7CC5,CREATED,89201289,D35B,Mattie,Olson,679 Dickinson Lake,Jeffrychester,IA,83132,USA,1,41161373,4,20.11,USD
